DateTime,AddedIPs,RemovedIPs
1503015314,256,256
1503064571,1792,1792
1503068422,256,256
1503070219,256,256
1503071979,256,256
1503075446,256,256
1503079215,256,256
1503084628,256,256
1503086444,256,256
1503093676,512,512
1503097384,512,512
1503099028,256,256
1503158439,1792,1792
1503167425,256,256
1503181822,512,512
1503183385,256,256
1503185424,256,256
1503187232,256,256
1503191440,256,256
1503248020,1792,1792
1503250219,256,256
1503264619,256,256
1503273114,256,256
1503275418,256,256
1503283975,256,256
1503298402,256,256
1503316339,2048,2048
1503320058,256,256
1503323666,512,512
1503325816,256,256
1503327339,256,256
1503330868,512,512
1503336617,512,512
1503338110,256,256
1503340218,256,256
1503352827,256,256
1503358223,256,256
1503359504,256,256
1503373929,256,256
1503406431,2560,2560
1503408613,256,256
1503410021,256,256
1503414027,512,512
1503415822,256,256
1503424538,256,256
1503426621,256,256
1503430219,256,256
1503437424,256,256
1503503611,1280,1280
1503510872,256,256
1503514520,256,256
1503520222,256,256
1503529230,256,256
1503532617,256,256
1503534621,256,256
1503590430,1536,1536
1503593615,256,256
1503608043,256,256
1503611762,256,256
1503615635,256,256
1503617419,256,256
1503665622,1024,1024
1503676511,256,256
1503685819,256,256
1503687309,256,256
1503690796,256,256
1503711022,256,256
1503756021,768,768
1503763229,256,256
1503792149,256,256
1503795219,256,256
1503816795,256,256
1503856497,512,512
1503860169,256,256
1503869417,256,256
1503871225,256,256
1503928438,1024,1024
1503930620,256,256
1503934219,512,512
1503937818,512,512
1503939219,256,256
1503941419,256,256
1503942909,256,256
1503945020,256,256
1503946811,256,256
1503966624,256,256
1504004001,768,768
1504006215,256,256
1504009821,256,256
1504011207,256,256
1504013418,256,256
1504017019,256,256
1504024222,512,512
1504031426,256,256
1504036846,256,256
1504042228,256,256
1504071037,256,256
1504097770,2048,2048
1504123384,256,256
1504130087,256,256
1504155662,256,256
1504199327,768,768
1504213786,256,256
1504274449,1536,1536
1504278027,512,512
1504285173,256,256
1504287025,256,256
1504294230,256,256
1504301426,256,256
1504308631,256,256
1504314046,256,256
1504360849,1536,1536
1504366226,256,256
1504407652,256,256
1504414889,256,256
1504442791,256,256
1504465258,768,768
1504538134,512,512
1504538442,256,256
1504549837,256,256
1504558866,256,256
1504567811,256,256
1504571442,256,256
1504573241,256,256
1504634445,768,768
1504639807,256,256
1504643435,256,256
1504648860,256,256
1504652458,256,256
1504714538,768,768
1504732071,256,256
1504733423,256,256
1504737034,256,256
1504738724,256,256
1504796265,1536,1536
1504807227,512,512
1504810834,256,256
1504812629,256,256
1504825212,256,256
1504830633,256,256
1504882843,1024,1024
1504886451,256,256
1504894530,256,256
1504899025,256,256
1504904476,256,256
1504933250,256,256
1504965640,1536,1536
1505006134,256,256
1505026853,256,256
1505028624,256,256
1505045221,1024,1024
1505063319,256,256
1505067309,256,256
1505073668,256,256
1505079025,256,256
1505138430,1280,1280
1505143818,256,256
1505145456,256,256
1505156426,256,256
1505158220,256,256
1505161819,256,256
1505165425,256,256
1505224831,1280,1280
1505240108,256,256
1505253884,256,256
1505255427,256,256
1505311241,1280,1280
1505314838,256,256
1505325639,256,256
1505401245,1280,1280
1505412931,256,256
1505421314,256,256
1505424801,256,256
1505429110,0,0
1505430937,0,0
1505431836,256,256
1505433664,256,256
1505435452,256,256
1505453408,256,256
1505456536,256,256
1505462480,256,256
1505467472,256,256
1505469668,256,256
1505491248,1792,1792
1505496404,256,256
1505500293,256,256
1505503371,256,256
1505510702,256,256
1505512849,256,256
1505523653,256,256
1505525696,256,256
1505566846,1024,1024
1505568949,256,256
1505583425,256,256
1505587031,256,256
1505590462,768,768
1505595670,256,256
1505606460,256,256
1505610037,256,256
1505667632,1280,1280
1505676400,256,256
1505683553,256,256
1505694565,256,256
1505743250,1280,1280
1505746849,256,256
1505750448,256,256
1505766627,256,256
1505779286,256,256
1505781304,256,256
1505797256,256,256
1505829653,1280,1280
1505831552,256,256
1505853006,256,256
1505856706,256,256
1505860237,256,256
1505865657,256,256
1505867442,256,256
1505894473,256,256
1505919636,1280,1280
1505925008,256,256
1505928011,256,256
1505937669,256,256
1506014111,1792,1792
1506015018,256,256
1506018620,256,256
1506033025,256,256
1506035822,256,256
1506058232,256,256
1506063650,256,256
1506088845,1280,1280
1506092444,256,256
1506097812,256,256
1506100990,256,256
1506103250,256,256
1506110472,256,256
1506114072,256,256
1506123049,256,256
1506139262,256,256
1506176130,768,768
1506176379,256,256
1506189637,256,256
1506191406,256,256
1506193246,256,256
1506196865,256,256
1506198010,256,256
1506240463,256,256
1506265244,1280,1280
1506277823,256,256
1506281423,256,256
1506283272,256,256
1506295823,256,256
1506362440,768,768
1506364006,256,256
1506366036,256,256
1506371047,256,256
1506373270,256,256
1506435350,1280,1280
1506436226,256,256
1506440382,512,512
1506441649,256,256
1506447026,256,256
1506459672,256,256
1506461654,256,256
1506489649,256,256
1506528048,2048,2048
1506530159,256,256
1506537471,512,512
1506538855,256,256
1506544420,512,512
1506548327,256,256
1506551828,256,256
1506560453,256,256
1506618045,1792,1792
1506623794,256,256
1506630780,256,256
1506639649,256,256
1506648608,256,256
1506673276,256,256
1506679252,256,256
1506687326,1280,1280
1506708043,256,256
1506709816,256,256
1506712801,256,256
1506720051,256,256
1506724470,256,256
1506727901,256,256
1506780908,1792,1792
1506791211,256,256
1506801704,256,256
1506817827,256,256
1506833497,256,256
1506837318,256,256
1506847908,256,256
1506858651,1792,1792
1506873619,256,256
1506874572,512,512
1506879021,256,256
1506880240,256,256
1506882623,256,256
1506886219,256,256
1506927151,1536,1536
1506933018,256,256
1506934316,256,256
1506936620,256,256
1506940226,256,256
1506947430,256,256
1506951030,256,256
1506961835,512,512
1506963294,256,256
1506965434,256,256
1506966720,256,256
1506969032,256,256
1506976236,256,256
1506987038,256,256
1507060245,1792,1792
1507069828,256,256
1507078521,256,256
1507098632,256,256
1507129224,1536,1536
1507131025,256,256
1507134618,256,256
1507143144,256,256
1507149025,256,256
1507156231,256,256
1507159830,256,256
1507163431,256,256
1507215011,1536,1536
1507217419,256,256
1507218777,256,256
1507221019,512,512
1507224623,256,256
1507225854,256,256
1507229397,256,256
1507235419,256,256
1507239027,256,256
1507242622,256,256
1507267833,256,256
1507305149,1792,1792
1507307419,256,256
1507308600,256,256
1507312263,256,256
1507321822,256,256
1507329028,512,512
1507355479,256,256
1507384306,1536,1536
1507386616,256,256
1507393819,256,256
1507401024,256,256
1507415426,256,256
1507422630,256,256
1507474247,1792,1792
1507480218,256,256
1507483823,256,256
1507494624,256,256
1507495856,256,256
1507501823,512,512
1507506642,256,256
1507509033,512,512
1507530630,256,256
1507549834,256,256
1507568054,2048,2048
1507571493,256,256
1507573821,256,256
1507577425,256,256
1507581026,256,256
1507588223,768,768
1507591822,256,256
1507595426,256,256
1507614642,256,256
1507621862,256,256
1507639842,1280,1280
1507645821,256,256
1507667429,256,256
1507674633,256,256
1507678231,256,256
1507681837,256,256
1507683040,256,256
1507685433,256,256
1507699833,256,256
1507704673,256,256
1507740819,1536,1536
1507743018,256,256
1507750226,256,256
1507753818,256,256
1507757419,256,256
1507758695,256,256
1507761020,256,256
1507780264,256,256
1507811433,256,256
1507816304,2560,2560
1507818620,768,768
1507825824,512,512
1507830680,256,256
1507840231,256,256
1507843833,256,256
1507847435,256,256
1507913452,1792,1792
1507919427,256,256
1507924849,256,256
1507926626,256,256
1507941035,256,256
1507953621,256,256
1507959034,256,256
1507960282,256,256
1507992660,2304,2304
1507996320,256,256
1507998617,256,256
1508002224,256,256
1508003466,256,256
1508005822,256,256
1508013027,256,256
1508021477,256,256
1508025426,256,256
1508034632,256,256
1508084106,2048,2048
1508085019,512,512
1508086303,256,256
1508099415,256,256
1508106627,256,256
1508113830,256,256
1508122265,256,256
1508135436,256,256
1508158284,1280,1280
1508179919,256,256
1508185829,256,256
1508193036,256,256
1508194275,256,256
1508196634,256,256
1508232642,256,256
1508248414,2048,2048
1508251878,256,256
1508255616,256,256
1508257828,256,256
1508277113,256,256
1508279438,256,256
1508286637,256,256
1508306458,256,256
1508338458,1280,1280
1508341903,256,256
1508344229,256,256
1508345731,256,256
1508347834,256,256
1508351428,256,256
1508356269,256,256
1508373037,256,256
1508428490,1792,1792
1508430621,256,256
1508431978,256,256
1508435778,768,768
1508437830,512,512
1508445029,512,512
1508450438,512,512
1508455836,256,256
1508459436,256,256
1508477436,256,256
1508482281,256,256
1508511091,1536,1536
1508513420,256,256
1508514852,256,256
1508517029,512,512
1508522174,256,256
1508525108,256,256
1508527825,256,256
1508529645,256,256
1508531430,256,256
1508532690,256,256
1508542243,256,256
1508601620,1024,1024
1508603423,512,512
1508604621,256,256
1508608578,256,256
1508610622,256,256
1508611885,256,256
1508615470,256,256
1508617831,256,256
1508621427,256,256
1508622717,256,256
1508625035,256,256
1508630422,256,256
1508632234,512,512
1508633417,256,256
1508639434,256,256
1508644291,256,256
1508650231,256,256
1508651462,256,256
1508653838,512,512
1508655060,256,256
1508662361,256,256
1508666421,256,256
1508669618,256,256
1508671836,256,256
1508687468,2304,2304
1508689824,256,256
1508691195,256,256
1508695206,512,512
1508705515,256,256
1508707823,256,256
1508711429,256,256
1508725835,256,256
1508736636,256,256
