DateTime,AddedIPs,RemovedIPs
1506593842,4,2
1506601047,1,3
1506604650,1,0
1506608251,3,5
1506611839,1,0
1506615440,5,5
1506616346,0,1
1506619046,2,0
1506620852,0,1
1506621776,1,0
1506622643,4,4
1506626250,0,1
1506629842,5,10
1506633445,1,0
1506637044,1,4
1506640644,1,0
1506644250,7,2
1506647844,1,0
1506651446,4,5
1506655042,1,1
1506658671,4,3
1506662248,0,1
1506664051,0,2
1506665843,4,3
1506673042,8,1
1506680246,2,3
1506684745,1,0
1506687451,4,4
1506688344,1,0
1506691039,1,0
1506694643,1,4
1506698242,1,0
1506701848,8,3
1506705442,1,0
1506707245,1,0
1506709048,3,4
1506716252,7,1
1506723449,6,4
1506727052,1,0
1506730640,3,2
1506734246,0,1
1506737843,2,5
1506745077,2,5
1506748646,1,0
1506752247,2,1
1506759456,6,6
1506763052,1,0
1506766642,1,2
1506770243,0,1
1506773857,1,4
1506780180,0,1
1506781051,4,2
1506782852,0,1
1506783779,0,1
1506784649,1,1
1506785542,0,2
1506786451,0,4
1506787383,0,1
1506788250,4,5
1506789152,0,2
1506790982,0,3
1506795447,6,5
1506799052,1,0
1506800853,0,2
1506802649,3,2
1506803547,0,1
1506805376,0,3
1506806243,0,1
1506807143,0,1
1506808977,0,1
1506809853,4,6
1506810751,0,1
1506811645,0,1
1506813449,1,0
1506814346,0,1
1506817042,7,5
1506818851,0,1
1506819785,0,1
1506820654,0,2
1506821550,0,2
1506822445,0,1
1506824242,8,3
1506826978,0,2
1506827851,0,2
1506829647,0,1
1506831470,3,2
1506832352,0,2
1506835048,1,0
1506835942,0,1
1506836845,1,0
1506837782,0,2
1506838647,11,7
1506839553,0,1
1506840448,0,1
1506841375,0,2
1506842243,0,1
1506843144,0,1
1506844054,0,1
1506844975,0,3
1506845847,5,8
1506847648,0,2
1506849446,0,1
1506850346,0,3
1506851247,0,2
1506853048,4,6
1506860251,5,2
1506865652,1,0
1506867448,4,6
1506871053,2,0
1506874644,5,7
1506879145,0,10
1506881842,5,6
1506889043,2,6
1506890849,1,0
1506892647,1,0
1506896241,5,4
1506903439,2,2
1506910647,3,3
1506917870,7,9
1506921445,1,0
1506925051,5,5
1506932242,5,2
1506935844,1,0
1506939440,6,1
1506946646,0,2
1506949371,1,0
1506952051,1,0
1506953840,0,1
1506957443,4,0
1506961041,8,3
1506968246,5,3
1506975446,6,3
1506982639,7,4
1506989848,6,2
1506997040,2,2
1507004264,8,3
1507005145,1,0
1507011441,3,5
1507015050,1,0
1507018644,5,3
1507025841,2,1
1507033048,13,2
1507040248,1,3
1507047446,5,6
1507049270,98,0
1507050196,1275,0
1507051045,1,1351
1507054644,8,1
1507058248,2,0
1507061850,4,4
1507065452,2,0
1507069050,10,2
1507076247,3,4
1507083454,4,1
1507087053,1,0
1507090679,3,4
1507091552,1,0
1507097850,6,7
1507101445,1,0
1507105052,5,6
1507112249,2,2
1507116749,1,0
1507119446,5,3
1507123048,1,0
1507126651,3,2
1507133848,4,7
1507141054,2,4
1507141950,1,0
1507148253,2,7
1507155449,5,3
1507162648,2,5
1507169848,1,5
1507177077,2,5
1507184253,5,4
1507191450,3,2
1507198645,4,4
1507205850,6,2
1507206751,1,0
1507213043,0,4
1507220245,5,3
1507223841,2,0
1507226582,0,4
1507227444,2,5
1507234635,5,3
1507241829,4,2
1507249035,6,4
1507252627,1,0
1507256238,5,5
1507263455,6,4
1507267029,1,0
1507270630,5,6
1507273353,1,0
1507277835,7,2
1507285031,2,3
1507292232,1,5
1507299428,2,3
1507306636,4,4
1507310237,1,0
1507313834,8,4
1507321035,2,4
1507324632,2,0
1507328235,7,2
1507335435,1,1
1507339037,1,0
1507342640,6,3
1507349855,3,9
1507357032,1,3
1507364233,10,6
1507371435,3,6
1507378635,4,2
1507385828,4,6
1507388557,0,1
1507393031,4,1
1507400236,4,4
1507403833,1,0
1507406562,0,2
1507407429,3,3
1507414624,4,5
1507418228,1,0
1507421817,2,2
1507424547,1,0
1507429023,4,3
1507432622,1,0
1507436244,6,3
1507439825,1,0
1507443416,7,5
1507450619,7,0
1507457827,4,5
1507465027,7,3
1507472222,2,3
1507479417,4,5
1507483025,1,1
1507486622,6,0
1507487515,1,0
1507492951,2,0
1507493819,4,5
1507501020,2,3
1507508219,3,3
1507515420,7,4
1507522648,3,5
1507526216,1,0
1507527121,0,1
1507529826,5,9
1507537020,4,5
1507540622,1,0
1507544215,11,4
1507547821,1,0
1507551426,3,4
1507558624,8,5
1507562223,1,1
1507563119,0,1
1507565823,5,5
1507568544,1,0
1507573021,3,2
1507576632,1,0
1507580221,9,2
1507581119,0,1
1507583819,1,0
1507586544,0,1
1507587425,2,4
1507594620,3,4
1507601819,1,4
1507609045,3,7
1507616221,5,12
1507623419,3,1
1507630615,5,3
1507634220,1,0
1507637816,3,5
1507641423,1,0
1507645022,3,3
1507648621,1,0
1507650424,1,0
1507652219,5,4
1507654024,0,1176
1507655829,1,0
1507660319,4,6
1507661222,1829,0
1507666666,3,2
1507673857,3,1
1507677455,1,0
1507681051,2,5
1507688251,2,5
1507691851,1,0
1507695473,6,5
1507699054,1,0
1507702646,4,4
1507706257,1,0
1507709848,4,4
1507713452,0,1
1507717049,7,0
1507720647,1,0
1507724251,1,2
1507731450,3,1
1507738654,5,4
1507740451,0,1
1507742247,1,0
1507747648,3,7
1507753048,7,2
1507760252,2,0
1507767446,3,3
1507774651,2,4
1507777378,0,1
1507781880,6,6
1507789052,3,3
1507794447,1,0
1507796252,8,8
1507799845,1,0
1507803449,2,1
1507810647,1,7
1507817849,3,4
1507821446,1,0
1507825048,2,5
1507832240,2,14
1507833145,1,0
1507839446,8,5
1507843040,1,0
1507846644,6,6
1507853843,4,2
1507861045,1,6
1507864641,0,1
1507868268,3,6
1507875440,3,4
1507881769,1,0
1507882639,2,7
1507889834,4,3
1507897037,7,3
1507904240,15,4
1507911444,3,7
1507913246,1,0
1507918641,4,5
1507919540,1,0
1507925843,5,2
1507927640,1,0
1507933041,4,4
1507936641,1,0
1507940242,1,1
1507947434,2,5
1507952836,0,2
1507954664,3,4
1507961839,5,6
1507969033,17,5
1507976240,2,6
1507983433,1,4
1507990638,3,3
1507997839,4,3
1508001448,2,0
1508005039,12,3
1508012240,13,5
1508019444,5,5
1508020342,1,0
1508026643,8,3
1508033844,5,7
1508041067,3,1
1508048243,4,5
1508055440,5,5
1508062639,5,4
1508069839,4,2
1508077038,3,7
1508080644,1,0
1508084236,1,6
1508089639,0,1
1508091443,2,7
1508095038,1,0
1508098643,1,4
1508105843,4,5
1508113039,3,1
1508120237,1,3
1508126567,3,1
1508127461,3,3
1508134643,0,3
1508141841,3,4
1508149035,5,3
1508156244,3,4
1508162573,0,1
1508163442,6,3
1508170643,6,3
1508171536,0,1
1508175141,2,0
1508177838,1,2
1508185039,4,5
1508185940,1,0
1508192237,3,4
1508199443,1,3
1508206640,2,3
1508213862,2,6
1508217444,0,1
1508221035,2,5
1508229137,5,2
1508235436,1,2
1508242637,6,5
1508245367,0,1
1508249842,3,0
1508251637,0,1
1508252562,1,0
1508256165,1,0
1508257038,2,9
1508259767,0,1363
1508262439,1415,0
1508264243,12,2
1508266971,1,0
1508271443,4,3
1508278636,4,8
1508282245,0,1
1508285835,3,4
1508293040,2,8
1508300270,3,8
1508307448,1,7
1508311041,0,1
1508314643,6,7
1508321841,2,3
1508329049,2,8
1508336241,5,2
1508343445,6,1
1508350649,3,8
1508357839,5,3
1508365040,4,2
1508371382,0,1
1508372245,5,1
1508379445,4,1
1508382169,1,0
